tVal2,tVal3,tVal4,tVal5,tVal6,tVal7,ax,ay,az,gx,gy,gz
1,0,1,0,1,1,-1.04,0.37,-0.12,-64.21,-197.34,-108.53,0
1,1,1,0,1,1,-0.83,0.31,0.05,-324.74,207.45,-1771.13,0
1,1,1,0,1,1,-0.90,-0.07,-0.02,31.62,-208.74,-980.42,4
1,1,0,0,1,1,-0.87,-0.29,0.10,275.98,-1314.51,251.98,4
1,1,1,0,1,0,-0.88,-0.14,0.53,359.33,-826.11,486.13,4
1,1,1,1,1,0,-0.73,-0.06,0.54,-177.83,1205.38,11.08,0
1,1,1,0,1,1,-0.84,-0.05,0.11,-349.38,568.34,-522.24,4
1,1,1,0,1,1,-1.14,-0.22,0.14,-532.02,24.76,-567.31,4
1,1,1,0,1,1,-0.99,-0.37,0.00,-361.65,170.48,-456.67,4
1,1,0,0,1,1,-0.57,-0.34,-0.17,89.67,124.21,258.20,4
1,1,1,0,1,1,-1.02,-0.23,0.03,435.54,-6.22,1384.40,4
1,1,1,0,1,1,-1.11,0.03,0.07,51.19,-151.56,237.39,0
1,1,1,0,1,1,-0.87,0.13,0.12,101.83,-136.26,575.58,0
1,1,1,0,1,1,-0.90,0.35,0.09,476.83,-572.13,1129.06,0
1,0,1,0,1,1,-0.85,0.33,0.02,-89.62,435.65,-124.69,0
1,1,1,0,1,1,-0.81,0.38,0.09,-261.28,849.13,-1194.41,0
1,1,1,0,1,1,-1.12,0.12,-0.16,-224.15,191.45,-909.78,0
1,1,1,0,1,1,-0.78,-0.19,-0.26,-162.42,-7.24,-726.12,4
0,1,0,0,1,1,-0.63,-0.31,-0.09,290.04,-1580.71,198.96,4
1,1,1,1,1,0,-0.98,-0.15,0.58,390.14,-232.26,458.40,0
1,1,1,0,1,1,-0.91,-0.05,0.26,-149.61,856.76,104.37,4
1,1,1,0,1,1,-0.77,-0.04,-0.02,-25.51,-379.49,206.96,4
1,1,1,0,1,1,-0.99,0.09,0.43,308.84,-1379.91,500.13,0
1,1,1,0,1,0,-0.80,0.28,0.52,520.67,-123.99,713.41,0
1,0,1,0,1,1,-0.47,0.31,0.39,269.28,179.50,301.93,0
1,0,1,0,1,1,-0.73,0.18,0.47,-880.92,-441.54,-789.25,0
1,1,1,0,1,0,-0.89,0.06,0.55,-628.66,-71.40,-915.13,0
